音讀 詞目
tsàn 棧
sim 森
tshe 棲
si̍t 植
phòng 椪
khim 欽
si̍k 殖
si̍t 殖
û 渝
tse 渣
tshik 測
iû 游
biáu 渺
hûn 渾
siong 湘
kài 溉
tsu 滋
tsiau 焦
iām 焰
iānn 焱
sing 猩
iû 猶
tok 琢
kî 琦
kî 琪
lîm 琳
pî 琵
sing 甥
han 番
phí 痞
lī 痢
ting 登
hō 皓
hōo 皓
tō 盜
siau 硝
hi 稀
kuáinn 稈
khún 窘
tshik 策
tsí 紫
lo̍k 絡
sûn 絢
kip 給
sù 絮
kòng 絳
siông 翔
siok 肅
phî 脾
i̍k 腋
hú 腑
sùn 舜
tshì 莿
tshiong 菖
phôo 菩
hua 華
huâ 華
lîng 菱
hui 菲
huí 菲
tô 萄
lâi 萊
phîng 萍
uí 萎
tù 著
ua 蛙
tu 蛛
kau 蛟
kap 蛤
ho̍k 袱
sī 視
tsín 診
tsà 詐
tsiàu 詔
tiau 貂
tāi 貸
bōo 貿
hō 賀
pua̍t 跋
tia̍t 跌
ti̍k 軸
koo 辜
tāi 逮
tsiu 週
i̍t 逸
i̍k 逸
iat 逸
iû 郵
tshau 鈔
kun 鈞
bín 閔
liông 隆
hông 隍
kai 階
kòo 雇
bûn 雯
han 頇
su 須
hik 黑
tsí 黹
ngōo 傲
tuān 傳
khing 傾
oo 嗚
sū 嗣
so 嗦
sok 塑
sài 塞
ò 奧
sik 媳
ma 媽
tshu 嵯
liâm 廉
bî 微
bián 愍
gû 愚
khuì 愧
lik 慄
tsû 慈
hong 慌
ùn 慍
sīn 慎
phok 搏
tsim 斟
hā 暇
ūn 暈
hui 暉
luán 暖
kuè 會
tshó 楚
bâi 楣
at 楬
ki̍k 極
khái 楷
kài 概
khài 概
him 歆
tiān 殿
kiàn 毽
guân 源
un 溫
sòo 溯
li̍k 溺
tshong 滄
tian 滇
tsáinn 滓
liān 煉
hông 煌
muê 煤
huàn 煥
iāng 煬
iông 煬
tia̍p 牒
ku̍t 猾
uí 瑋
hâ 瑕
ló 瑙
ôo 瑚
ing 瑛
û 瑜
suī 瑞
sit 瑟
sik 瑟
puì 痱
tshi 痴
pì 痹
pì 痺
bîng 盟
tsing 睛
tok 督
bo̍k 睦
tsiah 睫
tóo 睹
phîng 硼
tuì 碓
ta̍k 碡
phòng 碰
kî 祺
lo̍k 祿
khîm 禽
