hoa去	VH
hoa去	VH
hoe2目	VB;VH
hoe5	VC
hoh	VH
hong5	Na;VH
hong5發	VH
hong嘴phoe2	
hou-lu2-bong2	Na
hou-te2-lu3	Nc
hou3-su3管	Na
hou5	VC;Nf;Nb
hou7	VD;P0;Dh;VL
hou7人拍	VB
houN	Na;Tc
hu	
hu-hu吼	VA
hu2	
hu2-lo2間	Nc
hu7-hu7響	
hui5-lu2-mu3	Na
hut死	VC
i3	VI;b;VH
i7	Dd;VC
i7啦	
iN2	Na
iN3-ouN3	
ia3	VK;VJ
ia3-ia3	
ia3得	VL
ia3落落	VJ
iaN7	VC
iah	Ca;VC;Cb
iah8開	VC
ian	Na
ian-jin2	Na
ian2	VA;Na;VC
ian5仔chan	
iang7	Na;VC;VH
iap-chhih-gang2	VH
iat8	VA;VC
iat8扇	
iat8火	
iat8葵扇	
iat8風	VA
iau	b;VH
iau-sa3-sa3	
iauN	
iau寒餓	Na;VH
iau想	VE
iau揜揜	VH
iau死	VR
iau燥	VH
iau燥亂	
iau燥燥	VH
iau牢	
iau狂	
iau瘼瘼	VH
iau監囚	Na
iau羅	Na
iau荒	Na
iau過飢	
iau飽吵	VA
iau餓	VH
iau饞	VH
iau鬼	Na;VH
iau鬼嘴	VH
in	Nh
in	Nh;Cb;VJ
in兜	
in娘leh	I
in娘姓	I
ioh	VC;Da;VE
ioh出出	
ioh猜	VA
ioh著	
ioh著	VR
ioh覓	VE
iok卯	VG
io囝	
io飼	VC
it著	VR;VK
iuN-a7	
iuN2	VC
je5	VC
jek去	
jek過	VA
ji2	Na;Nf
jiak-khu3	Na
jiau3癢	VA
jiau3破	VR
jiau3耙仔	Na
jiau3頭殼	VA
jiau5	VJ
jiau5-phoe2-phoe2	VH
jiau5痕	Na
jiau5皮	
jih8	P4;VC
jih8破	VR
jih8電鈴	
jim5	VC
jiok	VC
jip	VC
jiu5	VC
joan2	VC
ka-che7	Na
ka-choah8	Na
ka-choe7	Na
ka2衰	
ka3	VH
ka3湯湯	
ka3漉漉	
ka7	VD;P6;Ca;P0;VC;Dh
ka7-ka7叫	VA;VH
ka7-ka7滾	VH
ka7伊	VC
ka7比起來	P4
kaN5	
kah	P6;VF;Ca;VC;VG;Da;VB;Cb;Dh;P3;Df
kah-m7是	
kai3田	
kaiN	VJ
kaiN3	VJ
kaiN5	VA
kak	b
kam2	Db
kam2仔	
kam2仔店	Nc
kam2仔貨	Na
kan-kan仔	Da
kan-taN	Db;Da;Cb;VJ
kan2	Na;b
kan2婢	Na
kang3	Na;VC;VH
kang3目	VA
kang3目尾	VI
kang7	VC
kap	P6;Ca;VC
kap8	VE;b;VH
kap8-kap8叫	VE
kap8-siau5	VE
kap8食	VH
kauh	VC;b
kauh8	VE
kauh死	VR
kauh過	VR
kauh餡	
kau查某	
ka刀蟲	Na
ka剪蟲	Na
ke-ke叫	VH
ke2	VC
ke5	VC
ke5	VC;b
ke5--leh	VR
ke5話	
keN	VC;VH
keN2-kui	
keN5著	
keh8	VC;b
keh8-ko5	VH
keh8-koaiN7	VA;Na;VH
keh8-lan7-koaiN7	VH
keh8口	Na
keh8口	Na;VH
keh8手	VH
keh8理	VH
keh8癖	VH
keh8目	VH
keh8空	VA;Na
keh8耳	VH
keh8腳	VH
keh8話	VB
keh8風	Dh
kek酒	VA
keng7	VC
keng7-an5	VR
keng7倚	VR
keng7後	Na
keng7開	VR
kha	Na;Nf
kha3	VC
kha3-sang3	Na
kha3更	VA
kha3涸	VA
kha3邊鼓	VA
kha3門	VA
kha3鼓	VA
kha3鼓墘	VA
khaN5	VC;VH
khah	Dd;VA;Na;P4;VC;Da;Dj;Df;VH
khah-be7	
khah-che7	
khah8	Na;VC;Nf;b;VH;Df
khah8朦	
khah久仔	Nd
khah佔贏	
khah使	Db
khah來leh	
khah值	
khah停	
khah停仔	Dd
khah免	Db;VC;VJ
khah加	Db
khah加ma7著	Db
khah加講	
khah去	Dd
khah大門	Dd;Da
khah大面	
khah失澧	
khah好	
khah嬴	VG;VJ
khah常	
khah強	VJ
khah快講	VH
khah慘	Cb;VJ
khah捅	
khah斂	
khah早	Dd;Na;Nd;Ng
khah早leh	Dd
khah會	
khah會曉	
khah有錢	
khah有閒	
khah猛	Dd
khah疼	
khah直	
khah知影	
khah等	P1;Ca;VC;Nf
khah緊	Dd
khah苦	VJ
khah親像	
khah講	
khah貴	
khah贏無	VH
khah贏面	
khah起	
khah輸	Db;VR;Da;Cb;VJ
khah輸人	
khah輸勢	VH
khah輸面	
khah開	
khaiN2	VR
khak8	VC;Tc
khak8痰	VA
khak8紅	VA
khak8血	
kham2	Na;Nf
kham2站	VJ
kham3	VR;VC;b
kham3印	VA
kham3土	Na
kham3瓦	
kham3甌	
kham3草	
kham3著	VR
kham3起來	
kham7-sau3	VA
khan-pang2	Na
khang3	VC;VH
khap	VC
khat	VC;b
khat水	
khau	VA;VC;Nf
khauh-khauh顫	
khauh8-khauh8-chhoah	VA;Na
khauh8-khauh8-tio7	VA;Na
khauh8-khauh8唸	VE
khau仔	Na
khau刀	Na
khau刀lian	
khau刀花	
khau刻	VD
khau削	VC
khau剝	VD;VB
khau剝錢	VA
khau嘴phoe2	
khau嘴鬚	VB
khau帆	VA
khau掛削	VB
khau洗	VC
khau痧	VA
khau稗仔	
khau翻頭	VA
khau耳屎	
khau草	VA
khau詐	VD
khau鐘	VA
khau風	VA;VH
khau鼎	
khe3	VC
khe3斷	
khe3甘蔗	
khe3肉骨	
khe5	VC
khe5位	
khe5手	VH
khe5空	VA;Na;VH
khe5著	VR
khe5話	VA
khe5馬	VA;VH
khe7-khoa3	VC
kheN5著	VR
kheh	VH
khehN-khehN嗽	VA
khehN8	VA
kheh著	VR
kheng-khiang	Dh
kheng5	VC
kheng5數	VA;VB
kheng5碗底	VB
kheng5財庫	
kheng5貨底	
khi5	
khiN5	
khiN5-an5-an5	
khia	Na;A;VC;Nf
khia7	VA;Na;VC;Nf
khia7--leh	VA
khia7-be7在	VH
khia7-tiau5	
khia7互在	VR
khia7倒吊	
khia7出來	VR
khia7厝	Na
khia7名	VA
khia7在	VR
khia7天露	VC
khia7宅	Na
khia7家	Nc;Nh;Na
khia7屏	Na
khia7山頂	
khia7崗	VA
khia7戶	Na
khia7戶頭	VA
khia7挺	
khia7擂台	
khia7擺	VA
khia7梯	Na
khia7泅	
khia7滷	VA
khia7牌	
khia7王	VH
khia7琴	Na
khia7直	VR;VA
khia7直直	
khia7碑	
khia7票	Na
khia7秋	
khia7立	VA
khia7算	Da
khia7起	VA;Na;VC
khia7起來	VR;VA
khia7頭	Dh
khiah	Na;Nf;b;VJ
khiak	VC
khian	VC;Nf
khian3	VA;VC
khian3損	Na;VK
khian3芳	
khian5	VH
khiang	
khiang3	VL;VH
khiang3人	Na
khiang3手	VH
khiang3查某	
khiang3查某	
khiang3腳	VH
khiang3腳兵	Na
khiap	b
khiap勢	VH
khiap意	Dh
khiat	VC;Nf
khiau5	VC;VH
khia空	VC
khin2	VH
khioh	VC
khioh來飼	VC
khioh俗仔	VA
khioh倚	VR;VA
khioh像	Na
khioh公金	VC
khioh司仔	
khioh囝	VA;VC;VB
khioh囝姆	Na
khioh囝婆	Na
khioh囝母	Na
khioh囡仔	VA;VC
khioh姐	Na
khioh姐母	Na
khioh媽	Na
khioh字紙	
khioh客	VA;Na
khioh寶	VA
khioh小影	Na
khioh尪仔	Na
khioh師仔	
khioh彩市	
khioh影	Na
khioh怨	VA;Na;VE
khioh恨	Na;Dh;VJ
khioh拾	VA;VC;VH
khioh捐金	VC
khioh捐錢	VC
khioh摺	
khioh擱	Na;VC;VH
khioh樣	P4;VJ
khioh款	
khioh現仔	
khioh現仔	
khioh癖	VH
khioh白肉	
khioh破爛	
khioh碇	
khioh稅	VA
khioh稻屑	VA
khioh空	Na;Dh;VE;on
khioh笑	VC
khioh笚仔	
khioh肥肉	
khioh腳走	VH
khioh藥	VA
khioh襉	Na
khioh起腳	VA
khioh郵票	
khioh金	
khioh鋸仔	
khioh錠	VA
khioh錢	VD;VA;VC;VB
khioh零星	
khioh面	
khioh風水	
khioh骨	
khioh骨頭	
khioh鬮	VA
khip8	VR;Ca
khit8	VH
khit8-khok8板	Na
khit8仔	Na;Nf;b
khiu2	VC
khiu2-an5	VR
khiu2尾溜	VB
khiu2後腳	
khiu2手後靪	VA
khiu2生理	VA
khiu2直	
khiu2鋸仔戰	Na
khiu2長	VR
khiu2頭鬃	
khiu2高	VR
khiu5	VA;b;VH
khiu5做一khiu	
khiu5毛	Na;VB
khiu5毛	Na;VB
khiu5筋	VH
khiu7N	VC
khiuN-7-嘴	VH
khiuN-7-癖	VH
khiuN-7-骨	Na;VH
khiuN7嘴	
khng3	VA;VC
khng3--teh	
khng3-leh	
khng3下	VC
khng3坦倒	VC
khng3棺	VA
khng3步	VA
khng3站	VR
khng3著頭	
khng3行	VJ
khng3規堆	VC
khng3貨	Na
kho3	VR
kho3傷	VR;VC
kho3著	VC
kho3著	VH
kho5頭	VA;VH
khoa3	VC
khoa3下	VC
khoa3手	Na
khoa3線	VH
khoa3車	VA
khoaN3	VH
khoe3	VC;P2;VJ
khoeh	VC;VJ;VH
khoeh目	VA
khok	VH
khok-仔	Na
khok8	VC;VH
khok8-khok8叫	
khong-ku-li2	Na
khong2	Na
khong3	VC
khong3-bu3	Na
khong7	b
khou2毛仔	Na
khou3	VH
khu-la2-chi3	Na
khu5-?	VA
khu5-khia7	VA
khu5燒	VA
khuh8-khuh8吼	Dh
khuh8-khuh8嗽	VA
khui5儉	VH
khun	VC
khun2頭	VH
khun5	VA;Nf
khun刀	Na
khut8尾巷	Nc
khut8尾筆	Na
khut8尾路	Na
khut8松	VH
khut8步	Na
khut8種	VH
khut8頭	VH
khut8頭山	
khut8頭巷	Nc
khut8頭步	
khut8頭港	
khut8頭路	Na
ki2指	Na
kiN2著	
kiN跋倒	VR
kiah8目	Dh
kiak8	
kian2	Db
kiap8	VH
kiap8嘴	VH
kiat	
kiat8	VH
kiat掉	VC
kiau2鬼	Na
kiau7	VC;b
kiau7開	VR
kin5	P6;Ca;VC
kiu	VA;VJ
kiu-kiu	VH
kiu3	VA;VJ
kiu3	VH
kiu3筋	VH
kiuh	VC;b;VH
kiuh布	
kiuh帶	Na
kiuh筋	VH
kiu去	VH
kiu水	VH
kiu腳	
kng3	Na
ko5	VC
ko5-ko5纏	VH
ko7	VA
ko7落來	
koaN7	VC;Nf
koaN7定	VA
koaN7水	Na;VH
koai7	VC
koai7-be7贏	
koai7著	VR
koaiN5	VC;Nb;VH
koaiN5低	Na
koaiN5崎	VH
koaiN5度	Na
koaiN5手	Na
koaiN5旺	VH
koaiN7	VR
koaiN7著	VR
koan5-lang7	
koan5低	Na
koan5低肩	
koan5價	Dh
koan5到	Nc;VJ
koan5坪	Na
koan5度	Na
koan5聲	
koat	VC
koe7	VR
koe7著	VR
koeh8	Nf;Nb
koh	Dd;Da;b;Df
koh樣	Na;Da;VH
kok8	Tc
