冰車 Na
冰鞋 Na
冷ki-ki VH
冷凊 VI
冷凊凊 VI
冷凍劑 Na
冷吱吱 VI
冷拌 VC
冷支支 VI
冷氣設備 Na
冷皙皙 VI
冷著 VH
冷霜霜 VI
冷靜落來 VR
准數 VB
凊 VH
凊乓乓 VI
凊凊 VH
凊凊采采 Dh
凊吶 Na
凊塊塊 VH
凊彩 Dh
凊心 VH
凊支支 VI
凊水 Na
凊汗 Na
凊瘼 Na
凊瘼吶 Na
凊笑 VA
凊膜凹 Na
凊采 Dh
凊采采 VH
凊飯 Na
凋井 Na
凋嗽 VA
凋尾 VH
凋心 VH
凋必 VH
凋料 Na
凋枝 Na
凋枯 b
凋柴 Na
凋椏 Na
凋樹 Na
凋水 VH
凋洘 b
凋涸涸 b
凋炭 Na
凋燥 VH
凋燥熱 VH
凋燥燥 VH
凋疥 Na
凋瘼 VH
凋瘼瘼 VH
凋癬 Na
凋碇 VH
凋肘 VH
凋脯 b
凋脯脯 VH
凋草 Na
凋葉 Na
凋蔫 VH
凋身 VH
凋離 VH
凋頭 VH
凋鬆 VH
凋黃 VH
凌勒 VA
凌治 VC
凌轢 VC
凍子 Na
凍趾 Na
凍酸 Nc
凍霜仔 Na
凍霜天 Nc
凜墘 Nc
凝水石 Na
凝霜 VH
凝點 Na
几桌仔 Na
凡但 Cb
凡勢 Db
凡在 Db
凡若 Cb
凡若是 Cb
凶夢 Na
凶年 Nd
凶歲 Nd
凶身 Na
凶陷 VH
凶險症 Na
凸鏡 Na
凸面鏡 Na
凹字 Na
凹目鮕 Na
凹磕 VH
凹腰 Na
凹落去 VR
凹鏡 Na
凹頭推 Na
凹頭栽 Na
出ti7 VJ
出丁 VA
出不產 VC
出不盡 VC
出世命 VH
出人前 VH
出代誌 VA
出伸 VJ
出傖 VA
出剩 VJ
出厄 VH
出取 VH
出名人 Na
出嘴 Nc
出在伊 VH
出在家己 VH
出外人 Na
出外洋 VA
出大力 VH
出天 VH
出尾 Nc
出帆 VA
出床 VA
出張 VA
出挑 VC
出挓 VH
出擢 Na
出收 VH
出日 VA
出業 VH
出正 VA
出演 VC
出炊 VA
出煙 VH
出痕 VH
出破 VK
出空頭 VA
出笑話 VA
出範 VH
出篷 VA
出納員 Na
出罪 VB
出脹 VA
出葬 VD
出虹 Na
出請 VF
出貴 VH
出賒 Na
出賞格 VC
出蹟 VH
出身命 VH
出運 VC
出門人 Na
出閨 VA
出青 VH
出額 VH
出首 VA
出鬼 VH
函養 Na
刀仔箭 Na
刀嘴 Na
刀斧手 Na
刀束 Na
刀板 Na
刀殼 Na
刀石 Na
刀肉 Na
刀脊 Na
刀銎 Na
刀鋩 Na
刀首 Na
刀骿 Na
刁價 VA
刁古董 VC
刁工 VL
刁意 VL
刁意故 VL
刁持 VL
刁故意 VL
刁靠 VA
刁頑 VH
分個 Na
分公餅 VA
分分仔 Df
分厘 Na
分叉路 Na
分家伙 VA
分平 VD
分張 VR
分批的 Na
分抨 VC
分摒 VD
分水 Na
分灶 VA
分的 Na
分紅利 VB
分聲 VI
分股 VA
分訴 VE
分詞 Na
分開khia7 VH
分開帶 VH
分開食 VA
分額 Na
分飯 VA
分餅 VA
切氣 VA
切腹自殺 VA
划橫流 VA
划船的 Na
列舉be7了 VH
刜 VC
初皮 Na
判案 VA
別世 VH
別位 Nf
別姓 A
別庄頭 Nc
別搭 VC
別日 Dd
別的人 Nh
利上利 Na
利仔錢 Na
利便 VL
利刀 Na
利割 Db
利劍劍 VH
利子 Na
利市 b
利流 VH
利益人 VH
利純 Na
利路 Na
利錢 Na
利頭 Na
到taN Dd
到今 Dd
到厝 VA
到地 VC
到坎 Nc
到尾 Db
到尾仔 Dd
到尾來 Dd
到崁 Na
到所在 Dg
到旦 Dd
到月 VA
到本 VH
到極角 Nc
到歲 VH
到熟水 VH
到甲 P1
到落尾 Dd
到詣 Dg
到路尾 Dd
到載 Nc
到透底 VH
到限 VH
刺gia5-gia5 VA
刺kui Na
刺phe3 Na
刺乳 Na
刺仔 Na
刺仔花 Na
刺吐 VA
刺心 VH
刺柿 Na
刺桐 Na
刺毛蟲 Na
刺瓜 Na
刺疫 VH
